,30/1/87,27/2/87,31/3/87,30/4/87,29/5/87,30/6/87,31/7/87,31/8/87,30/9/87,30/10/87,30/11/87,31/12/87,29/1/88,29/2/88,31/3/88,29/4/88,31/5/88,30/6/88,29/7/88,31/8/88,30/9/88,31/10/88,30/11/88,30/12/88,31/1/89,28/2/89,31/3/89,28/4/89,31/5/89,30/6/89,31/7/89,31/8/89,29/9/89,31/10/89,30/11/89,29/12/89,31/1/90,28/2/90,30/3/90,30/4/90,31/5/90,29/6/90,31/7/90,31/8/90,28/9/90,31/10/90,30/11/90,31/12/90,31/1/91,28/2/91,29/3/91,30/4/91,31/5/91,28/6/91,31/7/91,30/8/91,30/9/91,31/10/91,29/11/91,31/12/91,31/1/92,28/2/92,31/3/92,30/4/92,29/5/92,30/6/92,31/7/92,31/8/92,30/9/92,30/10/92,30/11/92,31/12/92,29/1/93,26/2/93,31/3/93,30/4/93,31/5/93,30/6/93,30/7/93,31/8/93,30/9/93,29/10/93,30/11/93,31/12/93,31/1/94,28/2/94,31/3/94,29/4/94,31/5/94,30/6/94,29/7/94,31/8/94,30/9/94,31/10/94,30/11/94,30/12/94,31/1/95,28/2/95,31/3/95,28/4/95,31/5/95,30/6/95,31/7/95,31/8/95,29/9/95,31/10/95,30/11/95,29/12/95,31/1/96,29/2/96,29/3/96,30/4/96,31/5/96,28/6/96,31/7/96,30/8/96,30/9/96,31/10/96,29/11/96,31/12/96,31/1/97,28/2/97,31/3/97,30/4/97,30/5/97,30/6/97,31/7/97,29/8/97,30/9/97,31/10/97,28/11/97,31/12/97,30/1/98,27/2/98,31/3/98,30/4/98,29/5/98,30/6/98,31/7/98,31/8/98,30/9/98,30/10/98,30/11/98,31/12/98,29/1/99,26/2/99,31/3/99,30/4/99,31/5/99,30/6/99,30/7/99,31/8/99,30/9/99,29/10/99,30/11/99,31/12/99,31/1/00,29/2/00,31/3/00,28/4/00,31/5/00,30/6/00,31/7/00,31/8/00,29/9/00,31/10/00,30/11/00,29/12/00,31/1/01,28/2/01,30/3/01,30/4/01,31/5/01,29/6/01,31/7/01,31/8/01,28/9/01,31/10/01,30/11/01,31/12/01,31/1/02,28/2/02,29/3/02,30/4/02,31/5/02,28/6/02,31/7/02,30/8/02,30/9/02,31/10/02,29/11/02,31/12/02,31/1/03,28/2/03,31/3/03,30/4/03,30/5/03,30/6/03,31/7/03,29/8/03,30/9/03,31/10/03,28/11/03,31/12/03,30/1/04,27/2/04,31/3/04,30/4/04,31/5/04,30/6/04,30/7/04,31/8/04,30/9/04,29/10/04,30/11/04,31/12/04,31/1/05,28/2/05,31/3/05,29/4/05,31/5/05,30/6/05,29/7/05,31/8/05,30/9/05,31/10/05,30/11/05,30/12/05,31/1/06,28/2/06,31/3/06,28/4/06,31/5/06,30/6/06,31/7/06,31/8/06,29/9/06,31/10/06,30/11/06,29/12/06,31/1/07,28/2/07,30/3/07,30/4/07,31/5/07,29/6/07,31/7/07,31/8/07,28/9/07,31/10/07,30/11/07,31/12/07,31/1/08,29/2/08,31/3/08,30/4/08,30/5/08,30/6/08,31/7/08,29/8/08,30/9/08,31/10/08,28/11/08,31/12/08,30/1/09,27/2/09,31/3/09,30/4/09,29/5/09,30/6/09,31/7/09,31/8/09,30/9/09,30/10/09,30/11/09,31/12/09,29/1/10,26/2/10,31/3/10,30/4/10,31/5/10,30/6/10,30/7/10,31/8/10,30/9/10,29/10/10,30/11/10,31/12/10,31/1/11,28/2/11,31/3/11,29/4/11,31/5/11,30/6/11,29/7/11,31/8/11,30/9/11,31/10/11,30/11/11,30/12/11,31/1/12,29/2/12,30/3/12,30/4/12,31/5/12,29/6/12,31/7/12,31/8/12,28/9/12,31/10/12,30/11/12,31/12/12,31/1/13,28/2/13,29/3/13,30/4/13,31/5/13,28/6/13,31/7/13,30/8/13,30/9/13,31/10/13,29/11/13,31/12/13,31/1/14,28/2/14,31/3/14,30/4/14,30/5/14,30/6/14,31/7/14,29/8/14,30/9/14,31/10/14,28/11/14,31/12/14,30/1/15,27/2/15,31/3/15,30/4/15,29/5/15,30/6/15,31/7/15,31/8/15,30/9/15,30/10/15,30/11/15,31/12/15,29/1/16,29/2/16,31/3/16,29/4/16,31/5/16,30/6/16,29/7/16,31/8/16,30/9/16,31/10/16,30/11/16,30/12/16,31/1/17,28/2/17,31/3/17,28/4/17,31/5/17,30/6/17,31/7/17,31/8/17,29/9/17,31/10/17,30/11/17,29/12/17,31/1/18,28/2/18,30/3/18,30/4/18,31/5/18,29/6/18,31/7/18
2S TB Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540,560,576,624,604,612,652,620,604,608,632,644,640,652,620,624,636,640,672,696,675,670,670,655,585,635,620,575,620,625,630,615,575,580,580,575,585,620,615,605,630,615,670,864,744,695.9999,665.9999,719.9999,659.9999,647.9999,695.9999,701.9999,677.9999,671.9999,696,695.9999,683.9999,797.9999,1007.9999,1127.9999,1619.9998,1457.9999,1205.9999,1145.9999,1181.9999,1265.9999,1103.9999,1121.9999,1091.9999,1067.9999,1019.9999,971.9999,905.9999,881.9999,917.9999,773.9999,803.9999,791.9999,809.9999,1013.9999,1241.9999,1157.9999,1295.9999,1319.9999,1163.9999,1331.9999,1457.9999,2054.9998,2564.9997,2519.9997,2474.9997,2414.9998,2299.9998,2119.9964,1903.9968,1639.9973,1919.9968,1791.997,1975.9967,1999.9967,1935.9968,1887.9969,1799.997,1700.9972,1574.9958,1376.9963,1394.9963
A TB Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2671.95,1951.85,1857.1,1538.74,1561.48,2558.25,2406.65,2520.35,2577.2,2596.15,3183.6,3695.25,4169,4017.4,3979.5,3714.2,3759.68,3471.64,3047.16,3107.8,3016.84,3032,2956.2,2895.56,2910.72,2804.6,2789.44,2789.44,2759.12,2804.6,2941.04,3032,2865.24,2804.6,2743.96,2653,2653,2637.84,2789.44,2774.28,2698.48,2668.16,2653,2653,2653,2637.84,2637.84,2683.32,2789.44,2789.44,2804.6,2728.8,2713.64,2653,2577.2,2562.04,2501.4,2486.24,2486.24,2486.24,2486.24,2834.92,2728.8,2728.8,2683.32,2774.28,2759.12,2789.44,2774.28,2804.6,2759.12,2728.8,2698.48,2683.32,2789.44,2789.44,2774.28,2834.92,2834.92,2774.28,2789.44,2774.28,2789.44,2759.12,2728.8,2713.64,2713.64,2713.64,2668.16,2653,2698.48,2683.32,2683.32,2653,2653,2622.68,2728.8,2743.96,2789.44,2789.44,2834.92,2895.56,3047.16,3092.64,3168.44,3259.4,3289.72,3304.88,3411,3395.84,3638.4,3941.6,3774.84,4017.4,4841.2,4880.4,4900,4900,5047,5145,5145,5341,5488,5439,5341,5439,5488,5390,5341,5390,5292,5341,5439,5390,5390,5439,5488,5488,5635,6027,5978,6174,6125,6321,6223,6370,6174,6174,6174,6125,6125,6174,6174,6370,6370,6370,6370,6419,6419,6419,6419,6370,6419,6419,6468,6517,6566,6566,6566,6566,6566,6566
AAV TB Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17945,16490,16587,16781,20758,22213,22795,23474,29585,32980,34920,33707.5,29585,26190,25462.5,22698,26190,26917.5,22116,17751,17266,18527,19206,19497,19206,19982,21534,22116,22504,21437,22698,20855,26432.5,25947.5,24250,23280,22795,21340,23668,21049,20952,22407,22116,25462.5,27645,24735,28130,28130,30555,30312.5,32495,36375,34677.5,34192.5,31767.5,29342.5,29585,29342.5,31282.5,30070,30070,30312.5,30797.5,30070,31767.5,31040,30070,29827.5,27645,26917.5,24977.5,28372.5,26675,24250,22213
ABC TB Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABICO TB Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3595.5,3572,3125.5,3055,3642.5,2655.5,2373.5,2514.5,2397,2256,1786,1539.25,1809.5,2056.25,1962.25,2350,2244.25,2632,2914,2303,2538,3713,3266.5,3172.5,2914,2726,2514.5,2467.5,2350,2044.5,2397,2291.25,2291.25,2162,2220.75,2079.75,1844.75,1868.25,1844.75,1480.5,1398.25,1786
ABPIF TB Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6300,6180,6120,6180,6120,6300,5580,5580,5760,5850,5820,5850,5520,5460,5460,5400,5490,5520,5220,5220,5250,5310,5310,5310,4950,4980,4950,4890,4890,5040,4830,4980,4980,5100,5220,5400,5070,5220,5100,5010,4980,5040,4890,4950,5100,5400,5370,5310,5070,5160,5130,5130,5340,5220,5100,5130,5100,5100,5130
ACAP TB Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685,680,730,735,810,820,780,825,630,595,650,600,600,560,600,580,570,575,610,575,580,570,650,605,750,775,812.5,818.75,956.25,1362.5,1187.5,1125,1112.5,1012.5,856.25,800,875,631.25,818.75,868.75,975,812.5,812.5,812.5,812.5,931.25,937.5,775,868.75,875,850,850,750,750,900,1012.5,1000,1012.5,1187.5,625,662.5,643.75,712.5,787.5,825,981.25,1081.25,1075,1006.25,850,937.5,912.5,875,981.25,1018.75,937.5,943.75,862.5,862.5,856.25,843.75,862.5,887.5,875,875,850,843.75,775,800,806.25,725,750,600,625,737.5,862.5,850,775,768.75,781.25,731.25,1106.25,1687.5,1812.5,2250,2225,1937.5,1637.5,1325,1093.75,1425,1462.5,1512.5,1337.5,1300,1325,1375,1737.5,2125,1712.5,1762.5,1737.5,1987.5,1937.5,2050,2175,2300,2325,2500,2275,2900,4375,6642.2281,8074.2681,8150.4404,7434.4204,6276.6008,6368.0077,5810.0104,5622.5908,5622.5908,6153.6132,5247.7514,4623.0191,4404.3628,4010.7448,3631.7768,3694.9381,3473.8735,2447.5018,1753.4398,2780.2288
ACC TB Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4594.52,5686.66,6402.2,6891.78,7193.06,7155.4,6967.1,6854.12,6628.16,6289.22,6213.9,6402.2,6251.56,5987.94,5197.08,4858.14,4895.8,4519.2,4406.22,2768.01,2221.94,2560.88,2692.69,3106.95,2956.31,2824.5,2655.03,2730.35,2485.56,2673.86,2560.88,2542.05,2617.37,2598.54,2523.22,2485.56,2579.71,2278.43,2447.9,2221.94,2165.45,2146.62,2071.3,2014.81,1883,1883,2240.77,2447.9,3125.78,2542.05,2786.84,2711.52,2636.2,5649,5874.96,5498.36,5046.44,4669.84,4745.16,3690.68,3671.85,3709.51,3954.3,4067.28,4142.6,3991.96,3389.4,2636.2,2617.37,2843.33,2410.24,2259.6,2504.39,2108.96,2033.64,2259.6,2523.22,2353.75,2410.24,2334.92,2259.6,2203.11,2278.43,2316.09,2504.39,2504.39,2523.22,2447.9,2372.58,2316.09,2316.09,2391.41,2956.31,3728.34,3427.06,3916.64,3634.19,3370.57,3238.76,3841.32,4217.92,4519.2,5347.72,6063.26,6741.14,6025.6,5649,5611.34,5761.98,6402.2,5649.0001,5131.1751,4895.8001,4575.6901,3332.9101,3521.2101,3314.0801,3295.2501,3860.1501,4312.0701,3766.0001,3935.4701,3577.7001,3351.7401,3144.6101,3088.1201,1873.585,1600.55,1515.815,2014.81,1977.15,1920.66,1920.66,2617.37,1779.435,1657.04,1704.115,1657.04,1158.045,681.646,655.284,772.03,651.518,568.666,726.838,515.942,344.589,410.494,534.772,482.048,451.92,500.878,399.196,295.631,352.121,384.132,374.717,354.004,376.6,357.77,384.132,374.717,331.408,346.472,331.408,410.494,410.494,395.43,459.452,418.026,372.834,482.048,489.58,523.474,527.24,534.772,519.708,444.388,399.196,410.494,444.388,376.6,451.92,459.452,470.75,463.218,474.516,451.92,466.984,459.452,444.388,418.026,418.026,391.664,384.132,391.664,489.58,451.92,451.92,451.92,451.92,485.814,474.516,451.92,436.856,436.856,425.558,482.048,429.324,433.09,587.496,591.262,595.028,659.05,809.69,726.838,723.072,632.688,708.008,700.476,756.966,764.498,726.838,738.136,640.22,662.816,662.816,674.114,662.816,659.05,651.518,655.284,700.476,708.008,1148.63,1129.8,1214.535,911.372,937.734,798.392,832.286,960.33,1007.405,933.968,903.84,858.648,869.946,869.946,869.946,832.286,813.456,805.924,1468.74,1365.175,1054.48,915.138,915.138,915.138,915.138,1293.4399,1284,1488,1248,1368,1236,1248,1128,1200,1068,996,948,996,924,936,912,864,936,840,792,828,804,708,732,708,660,636,660,612,612,588,612,624,648,636,698.3884,698.3884,698.3884,671.5273,631.2356
ADB TB Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882,792,1062,804,900,816,768,660,756
ADVANC TB Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13500,12500,12000,11900,12300,14200,16000,18700,21400,23250,26250,27750,15700,17500,17000,18800,22800,24000,24900,36200,38400,56300,51200,44400,62712,73008,78000,73632,80340,85488,95940,101088,89388,81900,66456,78156,80028,84708,89388,85644,90324,90324,92664,93600,93600,104364,116532,109980,113256,100152,99684,93132,72072,77688,81432,80964,69732,51012,52884,58500,51948,40716,40950,52884,53352,37674,56160,50544,47268,54288,90792,76284,71604,60840,52416,39312,50544,38376,53352,59436,48672,49608,58968,57564,54756,68796,70200,83304,80964,97200,91260,89100,105300,121500,104220,109080,105840,103140,97200,97740,96660,94500,82080,84780,95040,97200,120420,113400,108540,110160,116100,118260,112320,132300,124200,121068.75,130607.5,119601.25,118133.75,119601.25,126938.75,120335,130607.5,115198.75,113731.25,82913.75,93920,100523.75,105660,104192.5,103458.75,112263.75,122536.25,132075,148217.5,180509.8872,170317.5381,163006.1016,177733.9489,177742.0431,190990.8679,249774.6167,235124.7656,254238.4728,245424.8064,258789.2012,261832.481,261894.1248,282560.9063,278235.3164,294443.042,275328.4639,288621.4604,315135.1147,312216.7373,324040.5298,294615.21,279987.0105,275577.3711,288870.3843,297756.803,297819.6567,318531.1553,295012.3535,292091.2822,318669.1084,303966.5288,279020.0402,270169.7446,261319.4553,273134.4336,265864.1528,259747.4902,264253.0983,265745.2148,265770.9668,243639.4189,228899.8828,218587.1294,215662.2283,197957.6667,223137.522,266000.3613,251236.8823,291146.1124,274889.2229,263066.0305,263066.0305,273411.3239,286937.9592,276604.958,310652.3438,296031.0791,275380.1748,288711.9727,273928.3392,254680.7275,263594.8157,238420.0299,216206.9836,228053.9417,235458.2904,222130.4626,238420.0299,245084.7115,235501.8058,239949.4285,268102.7811,256266.1122,255583.8712,279299.5894,255764.3518,240200.8923,256510.8295,246131.7786,260960.5195,255808.7613,224706.1796,223226.9939,257341.4182,277394.2295,273741.5599,281976.8848,267167.5049,268746.0028,252456.4746,237622.3633,236139.3197,267361.9409,274891.8884,288360.9653,309201.9023,343392.4973,337446.3069,380556.1875,387988.9255,414746.7825,417719.8777,448937.3774,475695.2344,547049.5195,544076.4243,532184.0435,548536.0671,594619.043,645161.6616,636242.376,587186.3049,654080.9473,621376.8999,624349.9951,615430.7095,713542.8516,802735.708,781924.0415,838412.8506,847332.1362,713542.8516,758139.2798,758139.2798,677865.709,593132.4954,621376.8999,627323.0903,671920.6221,719489.042,680838.8042,654080.9473,618403.8047,621376.8999,668946.4233,710569.7563,707596.6611,746246.8989,728408.3276,692731.1851,704623.5659,713542.8516,695704.2803,713542.8516,743273.8037,707596.6611,671919.5186,692731.1851,593132.4954,451910.4727,502453.0913,506912.7341,541103.3291,463802.8535,490560.7104,469749.0439,529210.9482,492047.2581,475695.2344,456370.1155,429612.2585,437044.9966,472722.1392,496506.9009,529210.9482,520291.6626,514345.4722,527724.4006,551509.1837,557455.3744,567861.208,578267.0417,518805.1351,567861.208,572320.851,588672.8753,618403.8286,618403.8286,566374.6604,550022.636,600565.2567
